   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
       63    0.55000  1.50073160000E+07   1.44138   4.25359  10.57960 -30.00000   0.49982   0.00000  0.00000E+00  7.47980E-01  2.36900E-01  1.47700E-02     0.02620     0.98310     0.00000     0.00060    -0.00872  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3991480906
       64    0.55000  1.52793960000E+07   1.44212   4.25329  10.58057 -30.00000   0.49982   0.00000  0.00000E+00  7.44540E-01  2.39900E-01  1.52100E-02     0.02600     0.98360     0.00000     0.00060    -0.00899  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4063845753
       65    0.55000  1.55705760000E+07   1.44289   4.25299  10.58155 -30.00000   0.49982   0.00000  0.00000E+00  7.41410E-01  2.42600E-01  1.56500E-02     0.02580     0.98360     0.00000     0.00060    -0.00876  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4141290608
       66    0.55000  1.59131660000E+07   1.44380   4.25262  10.58276 -30.00000   0.49982   0.00000  0.00000E+00  7.36790E-01  2.46600E-01  1.62500E-02     0.02550     0.98370     0.00000     0.00060    -0.00866  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4232408930
       67    0.55000  1.61852560000E+07   1.44455   4.25232  10.58373 -30.00000   0.49982   0.00000  0.00000E+00  7.33390E-01  2.49500E-01  1.67100E-02     0.02530     0.98430     0.00000     0.00060    -0.00893  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4304776436
       68    0.55000  1.64790760000E+07   1.44532   4.25202  10.58472 -30.00000   0.49982   0.00000  0.00000E+00  7.30280E-01  2.52200E-01  1.71700E-02     0.02510     0.98430     0.00000     0.00060    -0.00870  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4382923449
       69    0.55000  1.68248260000E+07   1.44622   4.25165  10.58591 -30.00000   0.49982   0.00000  0.00000E+00  7.25930E-01  2.55900E-01  1.77800E-02     0.02490     0.98470     0.00000     0.00060    -0.00885  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4474882233
       70    0.55000  1.71152260000E+07   1.44703   4.25132  10.58696 -30.00000   0.49982   0.00000  0.00000E+00  7.22030E-01  2.59300E-01  1.83100E-02     0.02460     0.98470     0.00000     0.00060    -0.00863  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4552119632
       71    0.55000  1.73868160000E+07   1.44780   4.25102  10.58795 -30.00000   0.49982   0.00000  0.00000E+00  7.18670E-01  2.62100E-01  1.88000E-02     0.02440     0.98520     0.00000     0.00060    -0.00887  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4624354154
       72    0.55000  1.76819360000E+07   1.44858   4.25072  10.58895 -30.00000   0.49982   0.00000  0.00000E+00  7.15640E-01  2.64700E-01  1.92800E-02     0.02420     0.98510     0.00000     0.00060    -0.00863  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4702846927
       73    0.55000  1.80355660000E+07   1.44950   4.25034  10.59017 -30.00000   0.49982   0.00000  0.00000E+00  7.11240E-01  2.68400E-01  1.99400E-02     0.02400     0.98550     0.00000     0.00060    -0.00880  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4796901546
       74    0.55000  1.83274160000E+07   1.45029   4.25002  10.59121 -30.00000   0.49982   0.00000  0.00000E+00  7.07660E-01  2.71500E-01  2.04800E-02     0.02380     0.98580     0.00000     0.00060    -0.00886  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4874524600
       75    0.55000  1.86235160000E+07   1.45111   4.24969  10.59227 -30.00000   0.49982   0.00000  0.00000E+00  7.04040E-01  2.74500E-01  2.10400E-02     0.02350     0.98600     0.00000     0.00060    -0.00885  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4953278023
