recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS
35,1-2-31,07 56 16.53,-61 17 12.77,,20.39,17.4,14.93,12,1.09,,13.6,,-1.93,,116,,0.32,0.28,-4.67,0.28,0,1,0.99989
36,1-2-3412,07 58 15.90,-61 18 29.08,,18.09,15.87,13.82,18,10.33,<,8.0,*,-1.4,,63,,-0.02,0.02,,0.51,0,1,0.999146
37,1-2-3472,07 58 18.25,-61 21 09.00,4.432,17.45,15.37,13.42,23,0.98,<,8.0,,-1.21,0.021,50,-1.06,0.46,0.57,-4.46,0.58,1,1,0.998258
38,1-2-3503,07 58 19.17,-61 23 52.24,,16.22,14.67,12.77,36,0.13,<,8.0,,-0.97,,38,,0.43,0.5,-4.46,0.68,0,1,0.999245
39,1-2-3572,07 58 21.56,-61 17 15.91,,19.23,16.65,14.43,10,42.37,<,8.0,*,-1.68,,87,,0.11,0.11,-5.11,0.4,0,1,0.999245
40,1-2-369,07 56 28.62,-61 17 11.80,0.275,17.07,15.0,12.86,40,18.12,,105.1,*,-1.06,0.023,42,-2.19,0.88,1.38,-4.17,0.63,1,1,0.992964
41,1-2-4076,07 58 40.52,-61 16 46.90,,18.28,15.65,13.48,23,60.75,,13.7,*,-1.28,,55,,0.1,0.01,-5.16,0.54,0,1,0.998613
42,1-2-4256,07 58 47.02,-61 23 46.60,0.808,20.47,17.57,14.93,6,2.5,,30.9,,-2.0,0.017,127,-2.2,0.18,0.38,-4.92,0.26,1,1,0.999989
43,1-2-463,07 56 32.23,-61 21 46.47,,17.87,15.57,13.37,26,3.75,,9.7,*,-1.27,,54,,0.19,0.21,-4.85,0.55,0,1,0.998613
44,1-2-619,07 56 38.03,-61 23 59.93,,19.45,16.73,14.31,13,0.15,,19.5,,-1.7,,89,,0.37,0.39,-4.58,0.39,0,1,0.999442
45,1-2-752,07 56 42.49,-61 17 48.59,,17.81,15.39,13.2,27,31.35,<,8.0,*,-1.19,,50,,0.03,0.0,-5.64,0.58,0,1,0.997667
46,1-2-816,07 56 45.30,-61 24 21.22,,18.97,16.31,13.99,15,9.88,<,8.0,*,-1.54,,74,,0.07,0.04,-5.31,0.45,0,1,0.999019
47,1-2-836,07 56 46.03,-61 17 09.30,1.271,19.67,16.99,14.45,16,0.34,,19.2,,-1.81,0.027,101,-1.9,0.37,0.4,-4.57,0.35,1,1,0.999591
48,1-3-118,07 56 19.66,-61 12 05.80,0.639,20.51,17.61,15.12,10,1.47,,33.3,,-2.02,0.038,129,-2.3,0.44,0.45,-4.53,0.25,1,1,0.999951
49,1-3-1198,07 56 54.17,-61 16 04.97,,20.02,17.29,14.93,12,16.11,,10.6,*,-1.92,,115,,0.02,-0.03,-5.96,0.3,0,1,0.999862
50,1-3-1523,07 57 04.55,-61 09 14.10,,20.36,17.52,15.34,9,12.05,<,8.0,*,-1.99,,125,,-0.01,-0.09,,0.27,0,1,0.999958
51,1-3-1638,07 57 03.73,-61 09 44.37,,19.66,17.04,14.65,16,29.98,<,8.0,*,-1.84,,104,,0.04,-0.01,-5.59,0.34,0,1,0.999874
52,1-3-1683,07 57 09.42,-61 14 23.80,0.77,21.13,18.04,15.04,7,2.22,,17.6,,-2.17,0.019,153,-2.3,0.12,0.33,-5.13,0.2,1,1,0.999976
53,1-3-1740,07 57 10.65,-61 11 16.00,,16.57,14.82,12.96,39,0.78,<,8.0,,-1.04,,42,,0.31,0.38,-4.58,0.66,0,1,0.999617
54,1-3-1747,07 57 11.17,-61 13 06.36,,19.95,17.03,14.6,13,21.21,<,8.0,*,-1.79,,99,,0.16,0.07,-4.98,0.34,0,1,0.999527
55,1-3-1888,07 57 09.67,-61 08 53.16,,16.09,14.57,12.61,57,0.0,<,8.0,,-0.93,,37,,0.24,0.33,-4.71,0.69,0,1,0.998258
56,1-3-1904,07 57 15.88,-61 15 44.80,,21.76,18.38,15.43,5,0.67,,36.1,,-2.26,,170,,0.17,0.15,-5.01,0.17,0,1,0.999993
57,1-3-1918,07 57 16.40,-61 07 46.42,,16.53,14.85,12.95,41,0.62,<,8.0,,-1.05,,42,,0.27,0.36,-4.65,0.65,0,1,0.99885
58,1-3-1944,07 57 17.63,-61 15 31.00,,21.03,17.85,15.07,8,2.21,,55.6,,-2.08,,138,,0.3,0.36,-4.73,0.23,0,1,0.999992
59,1-3-2082,07 57 22.07,-61 09 18.17,,16.96,14.67,12.6,44,4.65,<,8.0,*,-0.91,,36,,0.02,-0.02,-5.74,0.68,0,1,0.997667
60,1-3-2128,07 57 23.80,-61 08 51.10,0.634,20.52,17.55,15.04,10,1.75,,19.9,,-1.99,0.023,124,-2.29,0.27,0.36,-4.75,0.26,1,1,0.999978
61,1-3-2179,07 57 25.28,-61 15 31.11,,19.79,16.81,14.64,13,47.24,<,8.0,*,-1.69,,88,,0.01,0.01,-6.03,0.37,0,1,0.999884
62,1-3-2213,07 57 26.10,-61 11 55.72,,20.91,17.94,15.1,6,1.13,<,8.0,,-2.15,,149,,0.31,0.31,-4.68,0.22,0,1,0.999985
63,1-3-2266,07 57 27.39,-61 13 30.95,,19.83,17.07,14.59,10,43.73,,10.6,*,-1.83,,103,,-0.04,0.0,,0.33,0,1,0.999781
64,1-3-232,07 56 22.81,-61 12 36.00,1.192,18.82,16.29,14.04,24,0.34,,9.2,,-1.54,0.007,74,-1.79,0.47,0.51,-4.46,0.45,1,1,0.998258
65,1-3-2379,07 57 32.93,-61 07 25.10,0.681,20.06,17.13,14.72,11,1.86,,26.6,,-1.83,0.022,103,-2.18,0.37,0.32,-4.61,0.32,1,1,0.99989
66,1-3-2588,07 57 33.66,-61 15 18.40,0.393,17.28,15.04,12.89,31,1.9,,55.9,,-1.06,0.014,43,-2.04,0.65,0.7,-4.31,0.63,1,1,0.996487
67,1-3-2668,07 57 42.51,-61 09 44.70,0.539,20.48,17.53,14.8,8,0.22,,31.5,,-1.98,0.025,123,-2.36,0.31,0.41,-4.68,0.26,1,1,0.999958
68,1-3-2945,07 57 52.94,-61 15 35.99,,20.11,17.28,14.96,7,0.27,<,8.0,,-1.9,,112,,0.18,0.35,-4.92,0.3,0,1,0.999911
