,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS,Mass_calc,Mass_e
483,484,3-6-2424,07 54 56.36,-61 05 11.70,0.491,10.609990748440746,16.07,13.7,26,0.74,,31.4,,-1.46,0.016,67,-2.14,0.44,0.55,-4.49,0.48,1,1,0.996487,0.40009544061998087,0.054546516370542725
484,485,3-6-2510,07 54 59.53,-61 04 22.70,3.066,10.179990748440746,15.7,13.35,33,0.83,<,8.0,,-1.31,0.009,57,-1.27,0.51,0.56,-4.43,0.53,1,1,0.992964,0.44356697066268524,0.054546516370542725
485,486,3-6-2534,07 55 00.67,-60 59 52.70,0.893,12.439990748440747,17.43,14.94,7,3.21,<,8.0,*,-1.94,0.017,118,-2.12,0.37,0.17,-4.61,0.28,1,1,0.999962,0.20467474196639157,0.054546516370542725
486,487,3-6-257,07 53 39.51,-60 57 04.40,1.638,12.049990748440747,17.18,14.62,9,1.36,,9.1,,-1.87,0.015,108,-1.82,0.2,0.43,-4.85,0.32,1,1,0.999798,0.24188595935975674,0.054546516370542725
487,488,3-6-2616,07 55 03.41,-60 59 30.98,,12.409990748440746,17.3,14.85,9,3.71,,42.7,,-1.88,,109,,0.14,0.38,-5.05,0.3,0,1,0.999949,0.20772856363222836,0.054546516370542725
488,489,3-6-2656,07 55 05.03,-60 59 30.70,0.777,7.969990748440747,14.52,12.55,53,58.71,,39.8,*,-0.9,0.015,35,-1.66,0.49,0.67,-4.42,0.7,1,1,0.999591,0.6606645846883569,0.054546516370542725
489,490,3-6-2779,07 55 09.57,-60 57 02.30,11.522,8.419990748440748,14.8,13.04,42,29.5,<,8.0,*,-1.02,0.012,41,-0.55,0.07,0.12,-5.28,0.66,1,1,0.999908,0.6164031862233722,0.054546516370542725
490,491,3-6-3057,07 55 18.64,-60 56 50.20,2.155,11.609990748440746,16.83,14.55,11,1.11,,14.6,,-1.74,0.01,93,-1.64,0.41,0.39,-4.53,0.37,1,1,0.999146,0.28415597206927706,0.054546516370542725
491,492,3-6-3232,07 55 24.03,-61 01 45.20,0.409,8.089990748440746,14.52,12.75,49,1.37,,68.1,,-0.91,0.023,36,-1.94,0.55,0.74,-4.36,0.7,1,1,0.999389,0.6488674566803283,0.054546516370542725
492,493,3-6-3289,07 55 26.56,-61 04 09.70,,12.279990748440747,17.23,14.73,11,3.93,<,8.0,*,-1.86,,107,,0.12,0.02,-5.11,0.31,0,1,0.999934,0.21994213510976274,0.054546516370542725
493,494,3-6-3363,07 55 28.97,-61 04 40.40,5.126,9.889990748440747,15.62,13.47,34,0.4,<,8.0,,-1.3,0.013,56,-1.04,0.43,0.49,-4.49,0.55,1,1,0.998258,0.47299473286931415,0.054546516370542725
494,495,3-6-3495,07 55 34.00,-61 02 41.77,,12.829990748440748,17.66,14.95,9,2.51,,21.7,,-2.01,,128,,0.31,0.33,-4.7,0.25,0,1,0.999955,0.177551801244615,0.054546516370542725
495,496,3-6-3532,07 55 34.89,-60 58 27.00,0.384,11.489990748440748,16.73,14.41,12,3.82,,44.9,,-1.7,0.016,89,-2.37,0.3,0.26,-4.66,0.39,1,1,0.99968,0.29545259031158916,0.054546516370542725
496,497,3-6-3671,07 55 40.01,-61 01 15.90,2.8,9.849990748440748,15.57,13.39,29,0.45,<,8.0,,-1.28,0.013,55,-1.29,0.5,0.58,-4.42,0.55,1,1,0.998613,0.47752323480766345,0.054546516370542725
497,498,3-6-3688,07 55 40.27,-60 59 34.02,,8.799990748440747,14.69,12.71,47,12.64,,9.7,*,-0.93,,37,,-0.01,-0.03,,0.67,0,1,0.998613,0.5794526321099011,0.054546516370542725
498,499,3-6-3743,07 55 42.29,-61 04 07.10,3.619,11.449990748440745,16.68,14.36,17,0.65,<,8.0,,-1.68,0.01,87,-1.38,0.31,0.34,-4.65,0.39,1,1,0.998613,0.2992729509290646,0.054546516370542725
499,500,3-6-3858,07 55 46.56,-60 59 40.60,14.453,10.029990748440747,15.75,13.63,28,19.69,,60.7,*,-1.35,0.005,59,-0.61,0.28,0.3,-4.67,0.53,1,1,0.99885,0.4587608584332756,0.054546516370542725
500,501,3-6-3868,07 55 46.34,-60 56 23.69,,10.039990748440745,15.64,13.23,24,21.31,<,8.0,*,-1.3,,56,,0.0,0.01,,0.54,0,1,0.999593,0.4582375194101277,0.054546516370542725
501,502,3-6-3886,07 55 47.75,-61 00 49.00,0.596,11.619990748440747,16.83,14.35,12,1.53,,37.8,,-1.74,0.015,93,-2.19,0.34,0.27,-4.62,0.37,1,1,0.999843,0.2829201936119049,0.054546516370542725
502,503,3-6-3905,07 55 49.00,-61 04 55.69,,11.719990748440745,16.76,14.15,16,0.26,,17.8,,-1.69,,88,,0.37,0.31,-4.61,0.38,0,1,0.999245,0.2735312080466967,0.054546516370542725
503,504,3-6-3999,07 55 51.41,-60 58 01.47,,8.739990748440748,14.89,12.84,39,1.32,,54.0,,-1.06,,43,,0.53,0.7,-4.35,0.65,0,1,0.998613,0.5853140004332386,0.054546516370542725
504,505,3-6-4112,07 55 55.53,-60 59 07.14,,9.579990748440748,15.39,13.31,27,13.31,,11.7,*,-1.21,,51,,0.13,0.21,-5.01,0.58,0,1,0.998613,0.5042772549385236,0.054546516370542725
505,506,3-6-4167,07 55 57.00,-61 00 47.20,1.546,11.049990748440747,16.36,14.08,20,0.74,,13.3,,-1.56,0.011,76,-1.69,0.44,0.53,-4.5,0.44,1,1,0.999324,0.34733027159908825,0.054546516370542725
506,507,3-6-4281,07 56 01.35,-60 57 44.12,,11.039990748440745,16.42,15.24,9,18.59,<,8.0,*,-1.59,,79,,-0.06,-0.11,,0.43,0,1,0.999998,0.34830536854895,0.054546516370542725
507,508,3-6-441,07 53 46.67,-60 58 45.44,,12.279990748440747,16.93,13.96,15,15.6,<,8.0,*,-1.7,,89,,0.15,0.06,-5.03,0.36,0,1,0.999996,0.21994213510976274,0.054546516370542725
508,509,3-6-747,07 53 56.83,-61 00 39.97,,13.039990748440745,17.98,15.5,6,0.88,,14.8,,-2.16,,151,,0.17,0.15,-4.95,0.21,0,1,0.999985,0.1648383385436039,0.054546516370542725
509,510,3-7-1020,07 54 06.39,-60 48 39.10,0.458,13.159990748440746,18.05,15.44,6,2.96,,43.3,,-2.18,0.033,155,-2.53,0.28,0.06,-4.74,0.2,1,1,0.999976,0.15826465192409692,0.054546516370542725
510,511,3-7-1072,07 54 08.10,-60 49 37.33,,11.309990748440745,16.32,13.77,23,0.16,,22.9,,-1.5,,71,,0.23,0.29,-4.82,0.45,0,1,0.99964,0.31587689359952537,0.054546516370542725
511,512,3-7-1106,07 54 09.71,-60 55 22.86,,13.619990748440747,18.23,15.01,6,0.01,,24.4,,-2.21,,161,,0.11,0.29,-5.18,0.19,0,1,0.999989,0.13735154132668134,0.054546516370542725
512,513,3-7-1115,07 54 09.84,-60 53 14.21,,10.489990748440748,15.89,13.57,26,6.02,<,8.0,*,-1.38,,62,,0.0,-0.05,,0.51,0,1,0.997667,0.4125016910532498,0.054546516370542725
513,514,3-7-1127,07 54 10.28,-60 50 05.31,,12.859990748440746,17.62,14.85,8,1.99,,21.6,,-1.99,,124,,0.19,0.11,-4.92,0.25,0,1,0.999992,0.17540165266470717,0.054546516370542725
514,515,3-7-1245,07 54 14.03,-60 50 12.00,0.266,11.639990748440747,16.84,14.43,16,3.56,,93.5,,-1.74,0.009,93,-2.55,0.5,0.52,-4.45,0.37,1,1,0.99885,0.28128045706127736,0.054546516370542725
515,516,3-7-1308,07 54 16.38,-60 53 41.90,0.872,12.169990748440748,17.22,14.66,12,1.24,,26.6,,-1.87,0.023,108,-2.09,0.28,0.28,-4.72,0.31,1,1,0.999591,0.2304237209605633,0.054546516370542725
516,517,3-7-1402,07 54 18.83,-60 50 56.30,2.546,10.369990748440747,15.92,13.65,26,0.16,,8.9,,-1.4,0.013,63,-1.4,0.56,0.58,-4.38,0.5,1,1,0.992964,0.424458566176625,0.054546516370542725
517,518,3-7-1435,07 54 19.67,-60 48 16.72,,9.669990748440748,15.6,13.58,31,14.42,<,8.0,*,-1.3,,56,,0.15,0.19,-4.93,0.55,0,1,0.999751,0.49533973406485976,0.054546516370542725
518,519,3-7-1875,07 54 34.28,-60 52 13.08,,11.149990748440745,16.53,14.26,19,31.08,<,8.0,*,-1.64,,83,,-0.01,-0.02,,0.42,0,1,0.999442,0.33511181335305695,0.054546516370542725
519,520,3-7-1913,07 54 35.54,-60 49 55.40,0.965,11.029990748440747,16.39,14.06,20,1.56,,26.1,,-1.58,0.007,77,-1.9,0.39,0.48,-4.55,0.44,1,1,0.999245,0.34981709721343973,0.054546516370542725
520,521,3-7-1981,07 54 35.32,-60 53 00.96,,10.219990748440745,15.82,13.75,28,3.75,<,8.0,*,-1.37,,61,,0.02,0.04,-5.92,0.52,0,2,1e-06,0.43990558254738865,0.054546516370542725
521,522,3-7-1991,07 54 37.79,-60 48 34.80,,12.319990748440746,17.08,14.61,14,29.25,,36.7,*,-1.77,,97,,0.38,0.22,-4.62,0.33,0,1,0.999971,0.21634888141767508,0.054546516370542725
522,523,3-7-2024,07 54 39.19,-60 50 58.00,0.584,12.559990748440745,17.56,14.84,9,1.61,,28.3,,-2.0,0.025,125,-2.33,0.24,0.24,-4.79,0.26,1,1,0.999968,0.19535428019799728,0.054546516370542725
523,524,3-7-2046,07 54 39.92,-60 50 32.10,0.397,12.859990748440746,17.71,15.15,8,0.08,,30.8,,-2.04,0.025,132,-2.52,0.26,0.28,-4.78,0.24,1,1,0.999974,0.17540165266470717,0.054546516370542725
524,525,3-7-2194,07 54 45.15,-60 54 36.00,0.498,12.099990748440748,17.03,14.51,13,0.44,,30.4,,-1.78,0.019,97,-2.29,0.23,0.32,-4.82,0.34,1,1,0.99995,0.23735842123573195,0.054546516370542725
525,526,3-7-2200,07 54 44.21,-60 49 47.30,3.711,9.979990748440747,15.62,13.58,30,0.55,<,8.0,,-1.29,0.008,56,-1.18,0.45,0.49,-4.47,0.55,1,1,0.999146,0.46428655561636467,0.054546516370542725
526,527,3-7-2433,07 54 51.87,-60 49 43.60,0.605,11.689990748440747,16.95,14.56,13,2.47,,32.9,,-1.79,0.01,99,-2.21,0.31,0.4,-4.66,0.35,1,1,0.999527,0.2763591418419479,0.054546516370542725
527,528,3-7-2472,07 54 53.66,-60 54 33.90,0.486,11.299990748440747,16.6,14.34,15,1.52,,24.4,,-1.66,0.008,85,-2.24,0.34,0.36,-4.61,0.41,1,1,0.997667,0.3173142239737823,0.054546516370542725
528,529,3-7-2519,07 54 54.67,-60 49 51.50,0.226,9.579990748440748,15.33,13.28,32,6.28,,77.3,*,-1.18,0.007,49,-2.34,0.54,0.71,-4.39,0.59,1,1,0.996487,0.5042772549385236,0.054546516370542725
529,530,3-7-2978,07 55 10.63,-60 50 20.22,,11.789990748440745,16.78,14.31,13,0.9,,50.6,,-1.69,,88,,0.33,0.38,-4.66,0.38,0,1,0.999389,0.26669492863835376,0.054546516370542725
530,531,3-7-3074,07 55 14.51,-60 55 36.40,0.839,10.539990748440745,16.05,13.84,20,0.98,,33.1,,-1.45,0.014,67,-1.9,0.56,0.66,-4.38,0.48,1,1,0.996487,0.40733520405782725,0.054546516370542725
531,532,3-7-312,07 53 42.05,-60 50 22.42,,11.209990748440747,16.65,14.37,18,2.93,<,8.0,*,-1.69,,88,,-0.08,-0.11,,0.4,0,1,0.999527,0.32813760013632376,0.054546516370542725
532,533,3-7-318,07 53 41.88,-60 49 34.30,,8.429990748440746,14.25,12.22,57,8.44,<,8.0,*,-0.76,,30,,0.04,0.06,-5.48,0.73,0,1,0.992964,0.6159805723444083,0.054546516370542725
533,534,3-7-3310,07 55 22.58,-60 48 04.05,,12.659990748440746,17.63,15.12,6,16.13,,10.2,*,-2.02,,129,,-0.06,0.03,,0.25,0,1,0.999923,0.18883111835781877,0.054546516370542725
534,535,3-7-3356,07 55 25.74,-60 52 33.95,,11.239990748440748,16.55,14.08,12,0.49,,14.0,,-1.64,,83,,0.5,0.42,-4.44,0.41,0,1,0.999488,0.32420378680782597,0.054546516370542725
535,536,3-7-3441,07 55 27.49,-60 48 33.20,2.432,10.139990748440747,15.77,13.64,19,0.81,<,8.0,,-1.35,0.005,60,-1.39,0.59,0.68,-4.36,0.52,1,1,0.998258,0.44795929109192173,0.054546516370542725
536,537,3-7-3448,07 55 27.68,-60 48 13.80,3.065,9.589990748440746,15.4,13.37,21,0.03,<,8.0,,-1.22,0.013,51,-1.22,0.52,0.6,-4.4,0.58,1,1,0.996487,0.5032244042457483,0.054546516370542725
537,538,3-7-3699,07 55 37.22,-60 51 40.31,,11.489990748440748,16.69,14.42,6,25.2,<,8.0,*,-1.68,,87,,-0.02,0.0,,0.39,0,1,0.999712,0.29545259031158916,0.054546516370542725
538,539,3-7-3731,07 55 38.71,-60 53 52.93,,12.009990748440748,17.11,14.87,7,0.07,,26.4,,-1.83,,104,,0.14,0.03,-5.02,0.33,0,1,0.999874,0.24569182508038626,0.054546516370542725
539,540,3-7-3884,07 55 43.62,-60 51 30.60,0.241,10.479990748440747,15.89,13.68,13,10.9,,69.1,*,-1.38,0.015,62,-2.41,0.69,0.62,-4.3,0.51,1,1,0.998258,0.4135304019181048,0.054546516370542725
540,541,3-7-4072,07 55 52.16,-60 54 03.60,0.313,9.969990748440745,15.64,13.41,14,10.46,,81.9,,-1.3,0.024,56,-2.26,0.34,0.77,-4.6,0.54,1,1,0.998258,0.46534930422140686,0.054546516370542725
541,542,3-7-689,07 53 55.21,-60 48 50.90,0.306,12.799990748440747,17.6,,7,11.46,,68.9,,-1.98,0.029,124,-2.61,0.33,0.24,-4.68,0.26,1,1,0.999991,0.1794698696685195,0.054546516370542725
542,543,3-7-694,07 53 55.30,-60 49 42.81,,13.359990748440746,18.27,15.59,5,4.07,,23.0,,-2.27,,172,,0.27,0.2,-4.76,0.18,0,2,,0.148057436154409,0.054546516370542725
543,544,3-7-765,07 53 57.19,-60 52 52.51,,11.659990748440746,16.93,14.68,14,5.69,<,8.0,*,-1.79,,98,,0.04,-0.04,-5.54,0.36,0,1,0.999488,0.27921509174768566,0.054546516370542725
544,545,3-7-801,07 53 59.11,-60 49 42.20,,12.969990748440745,17.88,15.53,8,3.51,,17.5,,-2.12,,144,,0.09,0.13,-5.22,0.22,0,1,0.999983,0.16861675816939395,0.054546516370542725
545,546,3-7-869,07 54 01.20,-60 49 28.64,,11.899990748440745,17.14,14.7,12,5.93,,18.6,*,-1.87,,108,,0.02,-0.06,-5.89,0.32,0,1,0.999783,0.2564415784200618,0.054546516370542725
546,547,3-7-912,07 54 02.08,-60 55 24.48,,9.009990748440748,14.96,12.86,43,33.67,<,8.0,*,-1.04,,42,,0.05,0.07,-5.42,0.64,0,1,0.997667,0.5591629308929351,0.054546516370542725
547,548,3-7-974,07 54 04.87,-60 55 10.80,10.115,8.689990748440747,14.99,13.27,42,8.44,<,8.0,*,-1.1,0.005,45,-0.65,0.04,0.1,-5.54,0.63,1,1,0.999806,0.5900418664899542,0.054546516370542725
548,549,3-8-1170,07 54 06.92,-60 45 20.10,1.741,11.929990748440746,16.98,14.54,13,1.16,,12.0,,-1.78,0.017,97,-1.75,0.25,0.32,-4.77,0.35,1,1,0.999937,0.2533361717929834,0.054546516370542725
549,550,3-8-1214,07 54 17.22,-60 46 27.60,0.42,10.649990748440745,15.97,13.6,26,5.82,,53.6,*,-1.41,0.014,64,-2.18,0.46,0.49,-4.48,0.5,1,1,0.992964,0.39514336682969364,0.054546516370542725
550,551,3-8-1666,07 54 32.53,-60 44 34.46,,13.339990748440746,17.81,14.82,7,17.36,,21.0,*,-2.03,,130,,0.23,0.19,-4.87,0.23,0,1,0.999993,0.14887706585754307,0.054546516370542725
551,552,3-8-2195,07 54 52.89,-60 45 11.15,,11.569990748440746,16.83,14.55,12,11.53,<,8.0,*,-1.75,,94,,-0.04,-0.03,,0.37,0,1,0.999762,0.2879234050331523,0.054546516370542725
552,553,3-8-2312,07 54 56.23,-60 40 30.66,,11.589990748440746,16.62,14.17,13,24.59,<,8.0,*,-1.63,,82,,0.06,0.01,-5.39,0.4,0,1,0.998613,0.2858039421503066,0.054546516370542725
553,554,3-8-2333,07 54 57.55,-60 42 38.20,1.32,12.299990748440747,17.32,14.9,8,2.08,,14.3,,-1.91,0.021,113,-1.93,0.44,0.4,-4.53,0.29,1,1,0.999915,0.21817196534676692,0.054546516370542725
554,555,3-8-2456,07 55 02.07,-60 42 29.60,0.709,11.079990748440748,16.37,14.18,16,0.22,,27.8,,-1.56,0.017,76,-2.03,0.32,0.4,-4.64,0.44,1,1,0.99885,0.34374824811427446,0.054546516370542725
555,556,3-8-2611,07 55 07.76,-60 39 33.65,,10.689990748440747,15.96,13.66,19,23.18,<,8.0,*,-1.4,,63,,0.01,0.02,-6.3,0.5,0,1,0.999019,0.3907364970816843,0.054546516370542725
556,557,3-8-2683,07 55 11.83,-60 46 02.67,,10.929990748440746,16.39,14.36,17,72.67,<,8.0,*,-1.58,,78,,0.01,-0.05,-6.13,0.44,0,1,0.999245,0.36182731093661424,0.054546516370542725
557,558,3-8-2749,07 55 13.37,-60 41 12.94,,10.079990748440748,15.48,13.31,29,0.43,,16.6,,-1.22,,51,,0.47,0.53,-4.46,0.57,0,1,0.992964,0.4538140487466139,0.054546516370542725
558,559,3-8-3061,07 55 23.46,-60 41 51.30,0.714,10.509990748440748,16.02,13.83,15,0.86,,36.4,,-1.44,0.009,66,-1.97,0.51,0.58,-4.42,0.49,1,1,0.997667,0.4104386834804847,0.054546516370542725
559,560,3-8-3148,07 55 26.00,-60 44 31.01,,10.739990748440748,16.18,13.95,15,19.98,<,8.0,*,-1.5,,71,,0.41,0.31,-4.52,0.47,0,1,0.996487,0.3847224558110908,0.054546516370542725
560,561,3-8-3165,07 55 27.66,-60 43 02.74,,10.999990748440746,16.37,14.1,12,1.64,,16.1,,-1.57,,77,,0.3,0.41,-4.66,0.44,0,1,0.999324,0.3534282433804298,0.054546516370542725
561,562,3-8-3326,07 55 34.67,-60 46 32.78,,11.419990748440748,16.67,14.46,11,1.05,,9.4,,-1.68,,87,,0.36,0.26,-4.59,0.4,0,1,0.999324,0.3025441000331882,0.054546516370542725
562,563,3-8-3336,07 55 33.71,-60 40 51.00,1.446,11.879990748440745,17.03,14.65,9,1.22,,17.9,,-1.81,0.017,101,-1.84,0.17,0.27,-4.94,0.34,1,1,0.999488,0.2583705235556262,0.054546516370542725
563,564,3-8-3343,07 55 34.95,-60 45 35.74,,12.149990748440745,17.21,14.68,9,37.36,<,8.0,*,-1.87,,108,,0.14,-0.06,-5.01,0.31,0,1,0.999887,0.2325710399567782,0.054546516370542725
564,565,3-8-3360,07 55 34.64,-60 42 14.57,,11.309990748440745,16.54,14.22,11,0.64,,16.0,,-1.63,,82,,0.26,0.36,-4.73,0.41,0,1,0.999245,0.31587689359952537,0.054546516370542725
565,566,3-8-3619,07 55 44.89,-60 44 13.00,0.709,10.169990748440748,15.76,13.62,19,0.07,,32.3,,-1.34,0.026,59,-1.92,0.47,0.51,-4.46,0.53,1,1,0.99885,0.44462706899235044,0.054546516370542725
566,567,3-8-3738,07 55 49.64,-60 43 08.80,0.403,12.119990748440747,16.96,14.35,8,8.34,,56.6,,-1.74,0.017,93,-2.36,0.03,0.37,-5.7,0.35,1,1,0.999978,0.23519565965543038,0.054546516370542725
567,568,3-8-43,07 53 32.71,-60 44 35.94,,12.879990748440745,17.77,15.32,7,0.37,,44.5,,-2.07,,136,,0.46,0.44,-4.52,0.23,0,1,0.999955,0.17406764642652317,0.054546516370542725
568,569,3-8-798,07 54 01.03,-60 44 04.21,,12.579990748440748,17.67,15.49,8,2.61,<,8.0,,-2.05,,134,,0.0,-0.04,-7.16,0.25,0,1,0.999957,0.19393548774001276,0.054546516370542725
569,570,3-8-809,07 54 01.66,-60 45 29.20,1.18,10.929990748440746,16.17,13.81,22,0.65,,24.9,,-1.48,0.01,69,-1.77,0.29,0.36,-4.68,0.47,1,1,0.997667,0.36182731093661424,0.054546516370542725
570,571,3-8-860,07 54 03.69,-60 46 34.20,0.56,10.579990748440748,16.05,13.82,24,0.36,,22.9,,-1.45,0.009,67,-2.08,0.46,0.58,-4.47,0.48,1,1,0.997667,0.4031934451882694,0.054546516370542725
571,572,3-8-972,07 54 07.80,-60 46 30.01,,8.439990748440747,14.43,13.29,56,34.67,<,8.0,*,-0.84,,33,,-0.05,-0.04,,0.71,0,1,0.999981,0.6145697983110606,0.054546516370542725
