recno,RAJ2000,DEJ2000,i'mag,Per,Power,l_FAP,FAP,Amp,Mass,bin,Vmag,Icmag,Jmag,Hmag,Kmag,Mmb,XH,PSS,single,Mass_calc,Mass_e
448,02 18 33.91,+57 11 50.2,18.71,4.88,136.4,,0.002,0.021,0.87,1,20.47,18.27,16.76,15.96,3.9113608199120353,1.0,,0.999996,1,0.756236686877803,0.012947409840164022
449,02 19 06.75,+57 05 54.6,19.4,7.96,136.0,,0.002,0.055,0.65,1,21.38,18.85,17.2,16.4,4.331360819912035,1.0,X,0.999999,1,0.586731118402439,0.012947409840164022
451,02 18 02.24,+57 00 16.5,19.4,7.87,135.8,,0.002,0.028,0.65,1,21.36,18.77,17.12,16.38,4.301360819912034,1.0,,0.999989,1,0.5976708597655896,0.012947409840164022
452,02 19 24.24,+57 03 15.8,16.7,5.05,135.6,,0.002,0.005,1.31,1,17.67,16.33,15.38,14.94,2.981360819912034,0.0,,0.999997,1,1.1479132890553267,0.012947409840164022
453,02 19 53.35,+57 09 06.2,17.36,8.33,135.1,,0.002,0.007,1.21,2,18.71,16.87,15.59,14.92,2.8613608199120346,3.0,,0.999991,1,1.1893767405946176,0.012947409840164022
454,02 18 36.37,+57 03 52.1,20.15,8.26,134.9,,0.003,0.08,0.44,1,22.4,19.55,17.66,16.86,4.791360819912036,1.0,,0.999573,1,0.4277667876687232,0.012947409840164022
455,02 19 02.99,+57 13 01.6,18.56,3.95,134.8,,0.003,0.019,0.93,2,20.4,18.03,16.35,15.55,3.431360819912035,1.0,X,0.99997,1,0.9686576751532654,0.012947409840164022
456,02 19 01.12,+57 09 58.4,16.26,10.9,134.7,,0.003,0.009,1.36,1,17.19,15.86,14.92,14.48,2.471360819912034,1.0,X,0.999996,1,1.2910684843261488,0.012947409840164022
457,02 19 24.33,+57 04 18.9,17.85,6.69,134.2,,0.003,0.016,1.11,1,19.29,17.35,15.95,15.21,3.1913608199120347,3.0,X,0.999992,1,1.0725165240129424,0.012947409840164022
458,02 18 35.46,+57 15 05.3,20.17,0.827,133.5,,0.003,0.037,0.44,1,22.55,19.64,17.59,16.81,4.711360819912034,1.0,,0.999769,1,0.45280238909326853,0.012947409840164022
