Index,Kmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
526,3.921360819912035,0.7583475666262236,0.06036238380157702,0.88,1,1.0,6.25,-0.0177,34.60163758003,57.09718072669
528,4.501360819912033,0.5284944570452814,0.06036238380157702,0.56,1,1.0,1.23,0.0927,34.83926934591,57.09350804369
532,4.101360819912035,0.6870138429631725,0.06036238380157702,0.76,1,1.0,6.45,0.5617,34.59950212857,57.05782518141
533,4.771360819912033,0.4214938715507046,0.06036238380157702,0.44,1,1.0,3.76,1.3071,34.89527990009,57.02366543269
534,4.161360819912035,0.6632359350754884,0.06036238380157702,0.7,1,1.0,3.91,0.5736,34.85782110073,57.1785408706
535,4.481360819912034,0.5364204263411758,0.06036238380157702,0.54,1,1.0,2.23,0.2076,34.53308676327,57.06642064635
539,4.341360819912033,0.5919022114124379,0.06036238380157702,0.53,2,1.0,6.76,0.0326,34.91099361376,57.15058652305
541,3.6213608199120344,0.8772371060646424,0.06036238380157702,0.85,2,1.0,8.13,,34.6081403289,57.07027617096
542,5.211360819912034,0.2471225470410232,0.06036238380157702,0.34,1,1.0,3.11,,0.0,0.0
543,4.091360819912035,0.6909768276111197,0.06036238380157702,0.69,1,1.0,0.271,0.4967,34.6191999527,57.12383043835
546,3.981360819912034,0.7345696587385402,0.06036238380157702,0.69,1,1.0,7.81,1.2869,34.92927240826,57.21962468333
547,3.4513608199120345,0.9446078450797464,0.06036238380157702,0.93,2,1.0,0.461,0.3466,34.82795851167,57.09252387311
548,4.331360819912035,0.5958651960603845,0.06036238380157702,0.63,1,1.0,5.24,,34.93817635355,57.08532338665
549,4.1513608199120355,0.6671989197234356,0.06036238380157702,0.71,1,1.0,6.72,0.3564,34.65602564687,57.12773340825
553,4.761360819912035,0.42545685619865115,0.06036238380157702,0.46,1,1.0,5.88,0.576,34.70227835283,57.17502365362
555,4.271360819912033,0.6196431039480692,0.06036238380157702,0.54,2,1.0,2.93,0.6585,34.92133363001,57.13145482039
