Index,Kmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
764,5.029359821608809,0.26458923474747986,0.012963976336862026,0.217,2,1.0,5.6382,7.2249,242.60933778198,-22.15305482382
765,5.859359821608809,0.19746957281854904,0.012963976336862026,0.295,2,1.0,2.0337,6.9825,242.61036141025,-22.51495965674
767,5.07935982160881,0.2605458816192309,0.012963976336862026,0.201,2,1.0,3.7607,6.5921,242.61742891444,-19.17907576458
780,4.81935982160881,0.2815713178861249,0.012963976336862026,0.279,2,1.0,0.4307,6.2559,242.68573327959,-28.03170905854
781,4.73935982160881,0.28804068289132306,0.012963976336862026,0.305,2,1.0,1.2829,6.3108,242.68655165322,-28.02975891772
782,6.009359821608809,0.1853395134338025,0.012963976336862026,0.264,2,1.0,2.0229,7.073,242.69314556097,-18.68342275236
786,6.23935982160881,0.16674008904385773,0.012963976336862026,0.182,2,1.0,1.3723,7.1649,242.71834471387,-19.6263202856
789,6.40935982160881,0.15299268840781177,0.012963976336862026,0.148,2,1.0,1.5633,7.1684,242.72909234057,-21.43732108366
790,5.6693598216088095,0.2128343147058946,0.012963976336862026,0.19,2,1.0,0.5882,7.1739,242.73407361983,-23.82481988485
795,5.39935982160881,0.23466842159843831,0.012963976336862026,0.161,2,1.0,0.3751,6.7069,242.76993667294,-23.55471848627
798,6.509359821608809,0.14490598215131412,0.012963976336862026,0.233,2,1.0,1.4538,6.3038,242.7809557497,-25.0505782115
803,6.1693598216088095,0.1724007834234062,0.012963976336862026,0.197,2,1.0,1.398,6.4982,242.80541209382,-20.3175913305
811,5.099359821608809,0.25892854036793145,0.012963976336862026,0.199,2,2.0,0.4761,7.2034,242.82551333041,-17.95809162613
814,6.40935982160881,0.15299268840781177,0.012963976336862026,0.182,2,1.0,1.3344,7.0628,242.82942034772,-23.32240570754
816,5.059359821608808,0.26216322287053057,0.012963976336862026,0.213,2,1.0,0.7376,,242.85836320049,-26.53228944605
817,5.72935982160881,0.20798229095199594,0.012963976336862026,0.138,2,1.0,1.2696,6.9124,242.85956839653,-23.66844494415
821,5.059359821608808,0.26216322287053057,0.012963976336862026,0.26,2,3.0,0.7811,7.2182,242.89456610367,-22.3290587141
824,4.889359821608808,0.27591062350657664,0.012963976336862026,0.265,2,1.0,3.7208,6.7427,242.90983664028,-23.11882452652
826,5.22935982160881,0.24841582223448438,0.012963976336862026,0.317,2,3.0,7.7648,7.3899,242.92751822677,-25.43099434553
829,6.109359821608809,0.17725280717730485,0.012963976336862026,0.135,2,1.0,0.9748,7.2804,242.93871105809,-22.90928776036
839,4.289359821608809,0.32443086104556274,0.012963976336862026,0.29,2,3.0,13.3557,5.9549,242.99166057479,-25.42515142814
841,5.779359821608809,0.20393893782374722,0.012963976336862026,0.245,2,1.0,1.7358,7.1772,243.00927977803,-20.29875207857
847,5.209359821608809,0.250033163485784,0.012963976336862026,0.198,2,1.0,0.7794,6.9785,243.03425933005,-20.55053368303
850,5.289359821608809,0.2435637984805859,0.012963976336862026,0.291,2,1.0,5.2152,7.1969,243.05170921405,-19.12207852199
851,5.619359821608809,0.21687766783414353,0.012963976336862026,0.167,2,1.0,1.0829,7.2093,243.0569591662,-24.52703132523
