Index,Vmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
405,11.629990748440745,0.3524985501623312,0.013601094896210647,0.4,,1.0,,2.4401,119.78769215689,-60.79913403402
409,10.729990748440747,0.43820259053095545,0.013601094896210647,0.48,,1.0,0.58,2.4615,119.91300818361,-60.76032748152
428,11.289990748440745,0.38487563207936715,0.013601094896210647,0.42,,1.0,,2.3153,120.39433171041,-60.69705107093
429,8.709990748440747,0.630560547802757,0.013601094896210647,0.66,,1.0,,2.4594,120.36491545205,-60.69461777643
435,12.379990748440745,0.2810785165218108,0.013601094896210647,0.29,,1.0,,2.5292,120.17630791624,-60.61561323449
439,10.319990748440746,0.47724554225443994,0.013601094896210647,0.5,,1.0,,2.4488,120.3345320254,-60.56738144137
440,9.839990748440746,0.5229543637843731,0.013601094896210647,0.55,,1.0,,2.3776,120.2667305411,-60.5895169943
441,12.189990748440747,0.29917159171074226,0.013601094896210647,0.34,,1.0,,2.2957,120.25403596112,-60.57235815914
443,9.369990748440747,0.567710918199099,0.013601094896210647,0.62,,1.0,,3.4938,120.24092261814,-60.55913850003
446,11.059990748440745,0.40677777572912666,0.013601094896210647,0.43,,1.0,,2.3374,120.88408313155,-60.7405666107
447,8.789990748440745,0.6229424108811017,0.013601094896210647,0.64,,1.0,,2.5387,120.72979729928,-60.65676062205
448,9.189990748440747,0.5848517262728239,0.013601094896210647,0.61,,1.0,,2.4746,120.64714777021,-60.67208017325
449,11.899990748440745,0.32678733805174387,0.013601094896210647,0.34,,1.0,,2.4833,120.69224101233,-60.62080965599
450,12.559990748440745,0.26393770844808584,0.013601094896210647,0.26,,1.0,,2.7716,120.65007257218,-60.6320533769
451,12.049990748440747,0.3125033313236396,0.013601094896210647,0.31,,1.0,,2.4123,120.64616497485,-60.61976483019
474,9.539990748440745,0.5515223772405813,0.013601094896210647,0.58,,1.0,,2.4745,119.87081636783,-60.66154798029
479,9.859990748440746,0.5210498295539592,0.013601094896210647,0.56,,1.0,,2.3077,119.90142307972,-60.5512624848
501,10.709990748440747,0.44010712476136926,0.013601094896210647,0.45,,1.0,,2.4824,120.00886691249,-60.50854309157
503,12.059990748440745,0.3115510642084327,0.013601094896210647,0.31,,1.0,,2.296,120.03818292339,-60.47109019974
506,9.819990748440746,0.5248588980147869,0.013601094896210647,0.58,,1.0,0.44,2.4187,119.96673423787,-60.48700240763
507,10.619990748440747,0.44867752879823164,0.013601094896210647,0.48,,1.0,,2.4256,120.04924103571,-60.41810252418
532,12.459990748440747,0.2734603796001551,0.013601094896210647,0.27,,1.0,,2.6811,117.83694358833,-61.08562436288
534,11.529990748440747,0.3620212213144003,0.013601094896210647,0.37,,1.0,,2.5432,118.00293370078,-61.04039351426
535,12.759990748440748,0.24489236614394683,0.013601094896210647,0.24,,1.0,,2.8845,118.01624387281,-60.92682988914
537,9.989990748440748,0.5086703570562687,0.013601094896210647,0.54,,1.0,,2.4283,118.21129573687,-60.90487873517
538,8.539990748440745,0.6467490887612751,0.013601094896210647,0.66,,1.0,,2.4354,118.26072848683,-60.84050109148
539,9.739990748440748,0.5324770349364423,0.013601094896210647,0.56,,1.0,,2.4411,118.25228411538,-60.80257126702
540,10.559990748440745,0.4543911314894735,0.013601094896210647,0.49,,1.0,,2.5314,118.29291238656,-60.77773519751
542,10.039990748440745,0.5039090214802343,0.013601094896210647,0.53,,1.0,,2.3279,118.29904141322,-60.6941136042
545,10.579990748440748,0.4524865972590595,0.013601094896210647,0.48,,1.0,,2.494,118.51524949722,-60.77615099006
547,10.929990748440746,0.4191572482268169,0.013601094896210647,0.47,,1.0,,2.5036,118.50681576983,-60.75807157128
