Index,Gmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
1501,6.076409661666396,0.8535511753963629,0.04209712602898778,0.853,1,1,,7.462,57.40235505705,24.29585956567
1503,10.697096661666396,0.27438332170375057,0.04209712602898778,0.282,1,1,,7.3103,57.40940394343,26.85143507931
1505,5.538163661666395,0.9210162039903003,0.04209712602898778,0.941,1,1,5.0132,7.1996,57.41426344138,23.28990844525
1509,10.240495661666396,0.33161477260356276,0.04209712602898778,0.345,1,1,,6.5238,57.42233530142,26.14800270882
1512,6.500259661666396,0.8004248124144917,0.04209712602898778,0.79,1,1,7.2745,7.5477,57.42624525739,24.462799736
1513,10.643553661666395,0.2810945281521129,0.04209712602898778,0.289,1,1,0.4441,7.4698,57.42804497401,24.31856840993
1516,10.864273661666395,0.2534289605282869,0.04209712602898778,0.266,1,1,,7.5152,57.44606846305,25.71007632857
1518,10.373411661666395,0.31495476632280694,0.04209712602898778,0.326,1,1,1.6719,6.9725,57.45189885868,22.17997112386
1522,5.953467661666396,0.8689610168915081,0.04209712602898778,0.873,1,1,6.8472,7.209,57.45992411581,23.7053885297
1523,10.983759661666397,0.23845230225943714,0.04209712602898778,0.247,1,1,0.857,7.3847,57.4600078879,20.96651689252
1524,9.109491661666397,0.4733774929950887,0.04209712602898778,0.492,1,1,0.4722,7.2158,57.46592514179,21.30713086081
1529,11.215742661666397,0.20937500353672056,0.04209712602898778,0.22,1,1,0.5612,7.3053,57.48126199309,24.10123486774
1530,9.774251661666396,0.3900548999649396,0.04209712602898778,0.411,1,1,,7.5311,57.48251419167,24.74190453201
1531,11.215870661666397,0.20935895971352436,0.04209712602898778,0.219,1,1,1.0465,8.5641,57.48371804405,20.38106177042
1538,9.760686661666396,0.39175516919662323,0.04209712602898778,0.413,1,1,1.3418,7.2721,57.49314930819,23.70921379287
1542,7.382368661666396,0.6898591808854709,0.04209712602898778,0.688,1,1,,7.0162,57.50276089924,25.39859852117
1543,10.904520661666396,0.24838430621442242,0.04209712602898778,0.257,1,1,,7.3111,57.50781770848,25.2112223155
1544,10.339955661666396,0.31914822061069525,0.04209712602898778,0.331,1,1,0.6757,7.5888,57.50914139243,23.86222290853
1546,8.047471661666396,0.6064935954228508,0.04209712602898778,0.617,1,1,6.4254,7.4229,57.52114270787,24.12375084194
1547,11.518404661666395,0.17143863153526007,0.04209712602898778,0.191,1,1,,7.4696,57.5268298328,26.97174736066
1548,10.860925661666396,0.25384860677876064,0.04209712602898778,0.263,1,1,1.7487,7.7461,57.53514890396,25.54865892623
1550,7.297868661666396,0.7004506110422909,0.04209712602898778,0.697,1,1,,5.2391,57.53976365412,21.608389073
1552,11.526251661666397,0.17045506996791593,0.04209712602898778,0.19,1,1,,7.4007,57.54494597991,24.47802874105
1553,7.333319661666396,0.6960070987288066,0.04209712602898778,0.693,1,1,,7.2232,57.55177538411,24.53272638784
1554,10.859547661666397,0.2540213285628563,0.04209712602898778,0.263,1,1,0.3645,7.457,57.55194981379,23.92647449588
1556,9.063015661666396,0.47920290492370854,0.04209712602898778,0.499,1,1,,7.2431,57.55368104569,24.35161554819
1557,9.931606661666397,0.3703316515350412,0.04209712602898778,0.392,1,1,,7.2428,57.55423174469,24.35181775808
1558,11.539629661666396,0.16877823975918305,0.04209712602898778,0.19,1,1,0.6652,7.4433,57.56154678863,25.42482323105
1559,10.802907661666396,0.26112072032714373,0.04209712602898778,0.269,1,1,1.1204,7.4165,57.5636777898,24.22654240157
1564,11.421772661666395,0.18355071530938805,0.04209712602898778,0.197,1,1,,7.546,57.57598217277,24.58746632895
